reg|fecha|Sexo|Edad|entra|codcol|colegio|Inicial|Primaria|Secundaria|directiva|p5_1|depto|muni1|muni2|muni3|muni4|muni5|muni0|p7_1|p7_2|p7_3|p7_4|p7_5|p7_6|p7_7|p7_8|p7_9|p7_10|p7_11|p7_12|p7_13|p7_14|p7_15|p8_1|p8_2|p8_3|p8_4|p8_5|p8_6|p9_1|p9_2|p9_3|p9_4|p9_5|p10_1|p10_2|p10_3|p10_4|p10_5|p10_6|p10_7|p10_8|p10_9|p10_10|p10_11|p10_12|p10_13|p11_1|p11_2|p11_3|p11_4|p11_5|p11_6|p11_7|p11_8|p12_1|p12_2|p12_3|p13_1|p13_2|p13_3|p13_4|p13_5|p14|p15_1|p15_2|p15_3|p15_4|p15_5|p15_6|p15_7|p15_8|p15_9|p16_1|p16_2|p16_3|p16_4|p16_5|p16_6|p16_7|p16_8|p16_9|p17|p18_1|p18_2|p18_3|p18_4|p18_5|p18_6|p18_7|p18_8|p18_9|p18_10|p18_11|p19|p20|P14_1|P14_2|P14_3|P14_4|P14_5|P17_1|P17_2|P17_3|P19_1|P19_2|P19_3|P20_1|donante|cono1|cono1_a|cono1_b|rp15_3|rp15_6|rp15_7|rp15_8|rp15_9|acti1|acti1_a|rp16_1|rp16_2|rp16_3|rp16_4|rp16_5|rp16_6|rp16_7|rp16_8|rp16_9|rp18_1|rp18_2|rp18_3|rp18_4|rp18_5|rp18_6|rp18_7|rp18_8|rp18_9|rp18_10|rp18_11|practi1|practi1_a|practi1_b|ESTADO CAP
1|24-May-21|Hombre|33|1|Germán Busch Becerra|German Busch Becerra|0|1|1|Secretaria de Actas|3|Santa Cruz|0|0|0|0|71001. Montero|Montero|Leyes o normas de prevención de la violencia|3|4|#NULL!|5|6|#NULL!|7|8|9|10|12|#NULL!|#NULL!|#NULL!|Sí|No|Sí|No|Sí|No|Sí|Sí|Sí|Sí|Sí|Apodos o chistes ofensivos|2|3|4|5|6|7|8|9|#NULL!|10|11|12|Maestro o Maestra|4|#NULL!|#NULL!|#NULL!|#NULL!|#NULL!|#NULL!|Sí|Sí|Sí|Verdadero|Verdadero|Falso|Verdadero|Verdadero|#NULL!|En desacuerdo|En desacuerdo|De acuerdo|En desacuerdo|En desacuerdo|De acuerdo|De acuerdo|De acuerdo|De acuerdo|Siempre|Algunas veces|Siempre|Siempre|Siempre|Siempre|Algunas veces|Siempre|Siempre|#NULL!|Nunca|Algunas veces|Siempre|Siempre|Siempre|Nunca|Siempre|Siempre|Siempre|Siempre|Siempre|Dialogo entre el maestro y el niño|Gestiona talleres contra el bulling|Timidez/Vergonzoso|2|3|0|0|Denunciar DNA|0|0|Buscar dialogo/ Habla con Maestro|0|0|Talleres sobre Bulling/ violencia|F Globales|31|68.888889|Alto|2|2|2|2|2|40|Negativa|3|2|3|3|3|3|2|3|3|0|2|3|3|3|1|3|3|3|3|3|30|44.776119|Más o menos adecuadas|Inicial
2|24-May-21|Hombre|39|1|Eliana Vaca Antelo|Elena Vaca Antelo|1|1|1|Pdte|1|Santa Cruz|0|0|0|0|70105. El Torno|El Torno|Prevención de la violencia hacía los niños, niñas y adolescentes|#NULL!|12|#NULL!|#NULL!|#NULL!|#NULL!|#NULL!|#NULL!|#NULL!|#NULL!|#NULL!|#NULL!|#NULL!|#NULL!|No|Sí|No|Sí|Sí|No|Sí|Sí|Sí|Sí|No|Comentarios ofensivos, amenazas o insultos en redes sociales|#NULL!|10|11|12|#NULL!|#NULL!|#NULL!|#NULL!|#NULL!|#NULL!|#NULL!|#NULL!|Maestro o Maestra|2|3|4|7|#NULL!|#NULL!|#NULL!|Sí|Sí|Sí|Falso|Verdadero|Falso|Verdadero|Falso|#NULL!|Muy en desacuerdo|Muy en desacuerdo|De acuerdo|Muy en desacuerdo|En desacuerdo|De acuerdo|De acuerdo|De acuerdo|De acuerdo|Algunas veces|Siempre|Siempre|Siempre|Siempre|Siempre|Siempre|Algunas veces|Siempre|#NULL!|Algunas veces|Algunas veces|Algunas veces|Siempre|Siempre|Siempre|Siempre|Siempre|Siempre|Siempre|Siempre|Reportar a la dirección al maestro que cometió la agresión y de ahí con el director seguir x las vías que corresponde|Jestionamos talleres para dar a conocer a los padres y alumnos sobre la violencia pero no contamos con el apoyo de nuestras autoridades|Miedo|0|0|0|0|Averiguar/denunciar en el Colegio|0|0|Denunciar en el Colegio/ Dirección|3|0|Talleres sobre Bulling/ violencia|NC Canada|25|55.555556|Medio|2|2|2|2|2|33.333333|Negativa|2|3|3|3|3|3|3|2|3|0|2|2|3|3|3|3|3|3|3|3|29|43.283582|Más o menos adecuadas|Inicial
3|25-May-21|Hombre|27|1|Tupac Katari (inicial y primaria)|Tupac Katari|1|0|0|Tesorera de curso|4|Santa Cruz|0|0|0|0|71001. Montero|Montero|#NULL!|#NULL!|#NULL!|#NULL!|#NULL!|#NULL!|#NULL!|#NULL!|#NULL!|#NULL!|#NULL!|#NULL!|#NULL!|#NULL!|#NULL!|Sí|Sí|No|Sí|Sí|No|Sí|Sí|Sí|Sí|Sí|Apodos o chistes ofensivos|2|3|4|5|6|8|9|#NULL!|10|11|12|#NULL!|Maestro o Maestra|2|3|4|#NULL!|#NULL!|#NULL!|#NULL!|Sí|Sí|Sí|Falso|Falso|Verdadero|Verdadero|Falso|#NULL!|En desacuerdo|En desacuerdo|De acuerdo|En desacuerdo|En desacuerdo|De acuerdo|De acuerdo|Más o menos de acuerdo|De acuerdo|Siempre|Siempre|Siempre|Siempre|Siempre|Siempre|Algunas veces|Siempre|Siempre|#NULL!|Nunca|Siempre|Nunca|Algunas veces|Siempre|Algunas veces|Siempre|Siempre|Algunas veces|Siempre|Siempre|Comumkcar a la direccion y hacer seguimiento|0|Timidez/Vergonzoso|2|3|5|0|Denunciar Policia|0|0|Denunciar en el Colegio/ Dirección|0|0|NS/NR|F Globales|36|80|Alto|2|2|2|3|2|42.222222|Intermedia|3|3|3|3|3|3|2|3|3|0|3|1|2|3|2|3|3|2|3|3|30|44.776119|Más o menos adecuadas|Inicial
4|25-May-21|Hombre|37|1|Libertad|Libertad|0|0|2|Secretaria de Actas|3|Santa Cruz|0|0|0|0|71001. Montero|Montero|#NULL!|#NULL!|#NULL!|#NULL!|#NULL!|#NULL!|#NULL!|#NULL!|#NULL!|#NULL!|#NULL!|#NULL!|#NULL!|#NULL!|#NULL!|Sí|Sí|Sí|Sí|Sí|No|Sí|Sí|Sí|Sí|Sí|Apodos o chistes ofensivos|2|3|4|5|6|7|8|9|#NULL!|10|11|12|Maestro o Maestra|7|#NULL!|#NULL!|#NULL!|#NULL!|#NULL!|#NULL!|Sí|Sí|Sí|Verdadero|Verdadero|Falso|Verdadero|Falso|#NULL!|Muy en desacuerdo|Muy en desacuerdo|De acuerdo|Muy en desacuerdo|Muy en desacuerdo|De acuerdo|De acuerdo|Más o menos de acuerdo|De acuerdo|Siempre|Siempre|Siempre|Siempre|Siempre|Siempre|Algunas veces|Siempre|Siempre|#NULL!|Siempre|Siempre|Siempre|Algunas veces|Siempre|Siempre|Siempre|Siempre|Siempre|Siempre|Algunas veces|Denunciar|0|Timidez/Vergonzoso|3|0|0|0|Denunciar DNA|0|0|Denunciar / Denunciar a Instancias correspondientes|0|0|NS/NR|F Globales|33|73.333333|Alto|2|2|2|3|2|33.333333|Negativa|3|3|3|3|3|3|2|3|3|0|3|3|2|3|3|3|3|3|3|2|25|37.313433|Poco adecuadas|Inicial
5|25-May-21|Hombre|30|1|Santa Rosita|Santa Rosita|0|2|0|Tesorera|4|Santa Cruz|0|0|0|0|71001. Montero|Montero|#NULL!|#NULL!|#NULL!|#NULL!|#NULL!|#NULL!|#NULL!|#NULL!|#NULL!|#NULL!|#NULL!|#NULL!|#NULL!|#NULL!|#NULL!|Sí|Sí|Sí|Sí|Sí|No|Sí|No|Sí|No|Sí|Apodos o chistes ofensivos|2|3|4|5|6|8|9|#NULL!|10|11|12|#NULL!|Director/a|#NULL!|#NULL!|#NULL!|#NULL!|#NULL!|#NULL!|#NULL!|Sí|Sí|Sí|Falso|Verdadero|Falso|Verdadero|Falso|#NULL!|En desacuerdo|En desacuerdo|De acuerdo|En desacuerdo|En desacuerdo|De acuerdo|De acuerdo|Más o menos de acuerdo|Más o menos de acuerdo|Algunas veces|Algunas veces|Siempre|Siempre|Siempre|Siempre|Algunas veces|Siempre|Siempre|#NULL!|Nunca|Nunca|Nunca|Nunca|Nunca|Algunas veces|Nunca|Algunas veces|Nunca|Nunca|Algunas veces|Hacer la denuncia a la distrital de educacion|0|Tristeza|3|6|0|0|Denunciar DNA|0|0|Denunciar a la Distrital|0|0|NS/NR|F Globales|31|68.888889|Alto|2|2|2|3|3|44.444444|Intermedia|2|2|3|3|3|3|2|3|3|0|1|1|1|1|2|1|2|1|1|2|44|65.671642|Adecuadas|Inicial
6|25-May-21|Hombre|32|1|Domingo Savio|Domingo Savio|0|0|2|Presidente de Junta Escolar|1|Santa Cruz|0|0|0|0|70104. La Guardia|La Guardia|Salud sexual y reproductiva|#NULL!|#NULL!|#NULL!|#NULL!|#NULL!|#NULL!|#NULL!|#NULL!|#NULL!|#NULL!|#NULL!|#NULL!|#NULL!|#NULL!|Sí|No|Sí|Sí|Sí|No|Sí|Sí|Sí|Sí|Sí|Apodos o chistes ofensivos|2|6|11|12|#NULL!|#NULL!|#NULL!|#NULL!|#NULL!|#NULL!|#NULL!|#NULL!|Maestro o Maestra|3|4|6|#NULL!|#NULL!|#NULL!|#NULL!|Sí|Sí|Sí|Falso|Falso|Falso|Verdadero|Falso|#NULL!|Muy de acuerdo|Muy de acuerdo|En desacuerdo|Muy de acuerdo|De acuerdo|En desacuerdo|En desacuerdo|En desacuerdo|En desacuerdo|Siempre|Siempre|Siempre|Siempre|Siempre|Siempre|Algunas veces|Siempre|Siempre|#NULL!|Algunas veces|Nunca|Algunas veces|Nunca|Siempre|Siempre|Siempre|Siempre|Siempre|Siempre|Siempre|Denunciar al maestro ante todas las autoridades|0|Timidez/Vergonzoso|5|7|0|0|Denunciar al Agresor|6|0|Denunciar / Denunciar a Instancias correspondientes|0|0|NS/NR|NC Canada|30|66.666667|Alto|4|4|4|4|4|86.666667|Altamente positiva|3|3|3|3|3|3|2|3|3|0|1|2|1|3|3|3|3|3|3|3|30|44.776119|Más o menos adecuadas|Inicial
7|25-May-21|Hombre|30|1|San Silvestre T|San Silvestre turno tarde|0|1|1|Secretaria de actas|3|Santa Cruz|0|0|0|0|71001. Montero|Montero|#NULL!|#NULL!|#NULL!|#NULL!|#NULL!|#NULL!|#NULL!|#NULL!|#NULL!|#NULL!|#NULL!|#NULL!|#NULL!|#NULL!|#NULL!|Sí|Sí|Sí|Sí|Sí|No|Sí|Sí|Sí|Sí|Sí|Apodos o chistes ofensivos|2|3|4|5|6|8|9|#NULL!|10|11|12|#NULL!|Maestro o Maestra|2|3|#NULL!|#NULL!|#NULL!|#NULL!|#NULL!|Sí|Sí|Sí|Falso|Verdadero|Falso|Verdadero|Falso|#NULL!|Muy de acuerdo|Muy de acuerdo|En desacuerdo|Muy de acuerdo|De acuerdo|De acuerdo|En desacuerdo|En desacuerdo|De acuerdo|Siempre|Siempre|Siempre|Nunca|Siempre|Siempre|Siempre|Siempre|Siempre|#NULL!|Algunas veces|Nunca|Nunca|Algunas veces|Algunas veces|Siempre|Nunca|Siempre|Nunca|Nunca|Nunca|Denunciar en la direccion|0|Cambio actitud/ humor|0|0|0|0|Denunciar DNA|0|0|Denunciar en el Colegio/ Dirección|0|0|NS/NR|F Globales|33|73.333333|Alto|4|2|4|4|2|77.777778|Positiva|3|3|3|1|3|3|3|3|3|0|1|1|2|2|3|1|3|1|1|1|39|58.208955|Más o menos adecuadas|Inicial
8|26-May-21|Mujer|42|1|Nacional la Floresta  Secundario|Nacional la Floresta|0|0|2|Presidente|1|Santa Cruz|0|0|0|0|71001. Montero|Montero|Prevención de la violencia hacía los niños, niñas y adolescentes|#NULL!|3|4|#NULL!|5|6|#NULL!|9|10|11|#NULL!|#NULL!|#NULL!|#NULL!|Sí|Sí|Sí|Sí|Sí|No|Sí|Sí|Sí|Sí|Sí|Apodos o chistes ofensivos|2|3|4|5|6|8|9|#NULL!|10|11|12|#NULL!|Maestro o Maestra|3|#NULL!|#NULL!|#NULL!|#NULL!|#NULL!|#NULL!|Sí|Sí|Sí|Falso|Verdadero|Falso|Verdadero|Falso|#NULL!|Muy de acuerdo|Muy de acuerdo|En desacuerdo|Muy de acuerdo|Muy de acuerdo|En desacuerdo|En desacuerdo|En desacuerdo|En desacuerdo|Algunas veces|Algunas veces|Siempre|Siempre|Siempre|Siempre|Algunas veces|Siempre|Siempre|#NULL!|Algunas veces|Siempre|Nunca|Siempre|Siempre|Siempre|Algunas veces|Algunas veces|Algunas veces|Nunca|Siempre|Hablar con el maestro y hacer conocer al director despues recurrir al distrital|0|Baja Autoestima|10|0|0|0|Ayudarlo / Buscar Ayuda Psicológica|0|0|Buscar dialogo/ Habla con Maestro|2|0|NS/NR|F Globales|33|73.333333|Alto|4|4|4|4|4|88.888889|Altamente positiva|2|2|3|3|3|3|2|3|3|0|3|1|3|3|3|2|2|2|1|3|34|50.746269|Más o menos adecuadas|Inicial
9|26-May-21|Hombre|20|1|Luz y Saber  I|Luz y saber 1|0|0|0|Alejandro|97|Santa Cruz|0|0|0|0|70101. Santa Cruz de la Sierra|Santa Cruz de la Sierra|Prevención de la violencia hacía los niños, niñas y adolescentes|#NULL!|2|6|#NULL!|9|#NULL!|#NULL!|#NULL!|#NULL!|#NULL!|#NULL!|#NULL!|#NULL!|#NULL!|No|No|No|No|No|Sí|Sí|Sí|Sí|Sí|Sí|Golpes|11|12|#NULL!|#NULL!|#NULL!|#NULL!|#NULL!|#NULL!|#NULL!|#NULL!|#NULL!|#NULL!|Madres y Padres|#NULL!|#NULL!|#NULL!|#NULL!|#NULL!|#NULL!|#NULL!|Sí|Sí|Sí|Falso|Verdadero|Falso|Verdadero|Falso|#NULL!|Muy de acuerdo|Muy de acuerdo|Más o menos de acuerdo|Muy de acuerdo|Muy de acuerdo|En desacuerdo|En desacuerdo|En desacuerdo|En desacuerdo|Siempre|Algunas veces|Siempre|Siempre|Siempre|Siempre|Siempre|Siempre|Siempre|#NULL!|Algunas veces|Algunas veces|Siempre|Siempre|Algunas veces|Algunas veces|Algunas veces|Siempre|Algunas veces|Siempre|Algunas veces|Denunciar|0|Timidez/Vergonzoso|4|0|0|0|Proceso Judicial / Busco Justicia|0|0|Denunciar / Denunciar a Instancias correspondientes|0|0|NS/NR|F Globales|18|40|Bajo|3|4|4|4|4|86.666667|Altamente positiva|3|2|3|3|3|3|3|3|3|0|2|3|3|2|2|2|3|2|3|2|30|44.776119|Más o menos adecuadas|Inicial
10|26-May-21|Hombre|47|1|Luz y Saber  I|LUZ Y SABER 1|2|2|2|Junta escolar voy|5|Santa Cruz|0|0|0|0|70101. Santa Cruz de la Sierra|Santa Cruz de la Sierra|Responsabilidades con las hijas e hijos|#NULL!|#NULL!|#NULL!|#NULL!|#NULL!|#NULL!|#NULL!|#NULL!|#NULL!|#NULL!|#NULL!|#NULL!|#NULL!|#NULL!|No|No|No|Sí|No|Sí|Sí|Sí|Sí|Sí|Sí|Apodos o chistes ofensivos|2|3|4|5|6|7|8|9|#NULL!|10|11|12|Maestro o Maestra|2|3|4|#NULL!|#NULL!|#NULL!|#NULL!|Sí|Sí|Sí|Falso|Verdadero|Falso|Verdadero|Verdadero|#NULL!|Muy de acuerdo|Muy de acuerdo|Más o menos de acuerdo|Muy de acuerdo|Muy de acuerdo|Muy en desacuerdo|Muy en desacuerdo|Muy en desacuerdo|Muy en desacuerdo|Siempre|Siempre|Siempre|Siempre|Siempre|Siempre|Algunas veces|Siempre|Siempre|#NULL!|Siempre|Siempre|Siempre|Siempre|Siempre|Siempre|Siempre|Siempre|Siempre|Siempre|Siempre|Acudir al director por su mala conducta|0|Timidez/Vergonzoso|4|9|0|0|Proceso Judicial / Busco Justicia|0|0|Denunciar en el Colegio/ Dirección|0|0|NS/NR|F Globales|31|68.888889|Alto|3|5|5|5|5|95.555556|Altamente positiva|3|3|3|3|3|3|2|3|3|0|3|3|3|3|3|3|3|3|3|3|23|34.328358|Poco adecuadas|Inicial
